ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,AL,2704302,Capital,Municipal,Urbana,189.33144,231.593299,Masculino,Parda,Outubro,1998 ou antes,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,PR,4128005,Interior,Estadual,Urbana,311.094162,297.819057,Masculino,Branca,Janeiro,2003,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Nordeste,BA,2932903,Interior,Municipal,Rural,232.602924,245.389035,Feminino,Preta,Outubro,2000,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Somente continuar estudando
2017,Norte,AC,1200203,Interior,Estadual,Urbana,183.389345,211.708039,Feminino,NA,Setembro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Norte,AC,1200401,Capital,Estadual,Urbana,288.673698,253.572287,Masculino,Amarela,Julho,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3525409,Interior,Municipal,Urbana,334.381686,354.263433,Masculino,Branca,Março,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Nordeste,PE,2611606,Capital,Estadual,Urbana,180.361083,237.978718,Masculino,Parda,Abril,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Norte,PA,1501402,Capital,Estadual,Urbana,294.850435,280.761165,Feminino,Parda,Fevereiro,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 2 horas, até 3 horas",Sim,Continuar estudando e trabalhar
2017,Sudeste,RJ,3303401,Interior,Estadual,Rural,219.638409,250.235403,Masculino,Branca,Agosto,2001,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,275.372342,279.574907,Masculino,Parda,Fevereiro,2003,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,CE,2304103,Interior,Estadual,Urbana,307.657824,328.303459,Feminino,Parda,Agosto,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
2017,Nordeste,AL,2700300,Interior,Municipal,Rural,244.057771,259.804561,Feminino,Parda,Julho,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3543402,Interior,Municipal,Urbana,313.512761,294.110713,Masculino,Não quero declarar,Agosto,2002,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sul,SC,4209102,Interior,Municipal,Urbana,283.468808,305.052083,Masculino,Branca,Junho,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Centro-Oeste,GO,5208004,Interior,Municipal,Urbana,214.56398,209.127546,Feminino,Amarela,Novembro,2002,"Sim, um",Não sei,Não sei,Menos de 1 hora,Mais de 3 horas,Não,Somente continuar estudando
2017,Sudeste,MG,3106507,Interior,Estadual,Urbana,303.29487,324.324372,Masculino,Parda,Outubro,2002,"Sim, dois",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sul,RS,4321204,Interior,Municipal,Rural,229.508991,294.472839,Masculino,Branca,Janeiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3129806,Interior,Municipal,Urbana,261.823562,214.525515,Feminino,Parda,Dezembro,2002,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3109303,Interior,Municipal,Rural,265.972808,299.645506,Feminino,Parda,Abril,2003,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,CE,2313955,Interior,Municipal,Urbana,162.425604,228.645259,Masculino,Preta,Março,2005 ou depois,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Menos de 1 hora,Sim,Somente trabalhar
2017,Nordeste,BA,2900207,Interior,Municipal,Rural,170.325827,200.443108,Feminino,Parda,Janeiro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Sudeste,MG,3122306,Interior,Municipal,Urbana,253.578234,278.127351,Feminino,NA,Agosto,2002,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Sim,Continuar estudando e trabalhar
2017,Sudeste,RJ,3300456,Interior,Estadual,Urbana,183.500468,150.183217,Masculino,Preta,Novembro,2002,NA,NA,NA,NA,NA,NA,NA
2017,Centro-Oeste,MS,5005400,Interior,Municipal,Rural,226.745177,228.070741,Feminino,Branca,Setembro,2001,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Menos de 1 hora,Não,Somente continuar estudando
2017,Sul,PR,4103701,Interior,Estadual,Urbana,315.594904,266.347261,Feminino,Branca,Maio,2002,"Sim, um",Não completou a 4.ª série/5.º ano do Ensino Fundamental,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,ES,3203163,Interior,Municipal,Urbana,246.431082,269.026907,Feminino,Branca,Março,2002,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
