,ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
889,2017,Nordeste,BA,2931905,Interior,Estadual,Urbana,252.28298900000001,238.441619,Feminino,Preta,Junho,2002,Não tem,"Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,Mais de 3 horas,Entre 1 e 2 horas,Sim,Ainda não sei
890,2017,Nordeste,PI,2207009,Interior,Estadual,Urbana,226.075187,188.52496299999999,Masculino,Branca,Novembro,2001,"Sim, um",Não sei,Nunca estudou,Menos de 1 hora,Menos de 1 hora,Não,Ainda não sei
893,2017,Sudeste,MG,3118601,Interior,Estadual,Urbana,289.532438,246.29108100000002,Feminino,Não quero declarar,Março,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
894,2017,Norte,PA,1504802,Interior,Municipal,Rural,254.55537,242.40678799999998,Feminino,Parda,Outubro,2002,Não tem,Não sei,Não sei,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
895,2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,203.527457,183.398351,Feminino,Branca,Julho,2002,"Sim, um",Não sei,Não sei,Mais de 3 horas,Menos de 1 hora,Não,Ainda não sei
896,2017,Nordeste,BA,2903201,Interior,Municipal,Urbana,236.19749,242.368893,Feminino,Parda,Junho,2003,"Sim, um",Completou a Faculdade,Completou a Faculdade,Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
897,2017,Nordeste,PI,2201200,Interior,Municipal,Urbana,171.890699,164.238238,Feminino,Parda,Agosto,2000,Não tem,"Completou o 9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Nunca estudou,Menos de 1 hora,"Mais de 2 horas, até 3 horas",Não,Ainda não sei
899,2017,Sudeste,SP,3505609,Interior,Municipal,Urbana,292.78515,282.914585,Masculino,Não quero declarar,Agosto,2003,"Sim, um",Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
900,2017,Sudeste,MG,3127701,Interior,Municipal,Rural,251.092091,196.751978,Feminino,Parda,Agosto,2002,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
901,2017,Sudeste,MG,3170438,Interior,Estadual,Urbana,173.61451499999998,200.08478200000002,Masculino,Parda,Junho,2003,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
902,2017,Sudeste,MG,3149309,Interior,Municipal,Urbana,282.98035,264.6241,Feminino,Parda,Dezembro,2002,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
903,2017,Nordeste,BA,2910800,Interior,Estadual,Urbana,241.054191,204.684274,Feminino,Branca,Maio,2000,"Sim, um","Completou o 5.º ano, mas não completou o 9.º ano do Ensino Fundamental",Não sei,Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
904,2017,Norte,AM,1302603,Capital,Estadual,Urbana,254.662086,243.508202,Feminino,Parda,Dezembro,2002,"Sim, um",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Sim,Somente continuar estudando
906,2017,Nordeste,BA,2927408,Capital,Estadual,Urbana,315.713851,224.225461,Masculino,Amarela,Fevereiro,2003,Não tem,Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
908,2017,Sul,PR,4117909,Interior,Estadual,Urbana,255.665171,249.02002400000003,Feminino,Não quero declarar,Agosto,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Entre 1 e 2 horas,Mais de 3 horas,Não,Ainda não sei
909,2017,Nordeste,MA,2105906,Interior,Municipal,Urbana,312.53848999999997,250.18230499999999,Feminino,Parda,Novembro,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,Menos de 1 hora,Menos de 1 hora,Não,Continuar estudando e trabalhar
